titulo,link,data
Recife inicia construção de habitacional no bairro de Boa Viagem,https://jc.uol.com.br/colunas/metro-quadrado/2025/09/16/recife-inicia-construcao-de-habitacional-no-bairro-de-boa-viagem.html,
BLOG DO TORCEDOR,https://blogdotorcedor.com.br/,
Edição do dia,https://impresso.jc.uol.com.br/index.php?id=/banca.php&utm_source=site_jc&utm_medium=imagem_capa&utm_campaign=chama_flip,
JORNAL DIGITAL,https://digital.jc.uol.com.br/,
Blog do Torcedor,https://jc.uol.com.br/blog-do-torcedor/,
Recall de Marcas,https://jc.uol.com.br/recall-de-marcas,
"SANEAMENTO
Recife é uma das seis capitais brasileiras que não evoluíram na coleta de esgoto
De acordo com um estudo do Instituto Trata Brasil, entre os anos de 2019 e 2023, capital pernambucana regrediu no abastecimento de água",https://jc.uol.com.br/pernambuco/2025/09/16/recife-e-uma-das-seis-capitais-brasileiras-que-nao-evoluiram-na-coleta-de-esgoto.html,
"BALANÇO
Raquel Lyra promete creches para dezembro, diz que PMs seguirão nas ruas e quer antecipar reforma no metrô",https://jc.uol.com.br/politica/2025/09/16/raquel-lyra-promete-creches-para-dezembro-diz-que-pms-seguirao-nas-ruas-e-quer-antecipar-reforma-no-metro.html,
"MERCADO DE TRABALHO
Taxa de desemprego em julho é a mais baixa da série iniciada em 2012, aponta IBGE",https://jc.uol.com.br/economia/2025/09/16/taxa-de-desemprego-em-julho-e-a-mais-baixa-da-serie-iniciada-em-2012-aponta-ibge.html,
"Saúde pública
Recife desapropria imóveis para construção de USF no Novo Prado",https://jc.uol.com.br/colunas/saude-e-bem-estar/2025/09/16/recife-desapropria-imoveis-para-construcao-de-usf-no-novo-prado.html,
"TRÂNSITO
Governo de Pernambuco e Prefeitura do Recife trocam acusações sobre alagamento no Túnel da Abolição",https://jc.uol.com.br/colunas/mobilidade/2025/09/16/governo-de-pernambuco-e-prefeitura-do-recife-trocam-acusacoes-sobre-alagamento-no-tunel-da-abolicao.html,
Tarifa Trump contra o Brasil,https://jc.uol.com.br/tag/tarifa/,
Conflito Israel x Irã,https://jc.uol.com.br/tag/israel/,
Raquel Lyra x João Campos,https://jc.uol.com.br/estamos-de-olho/joao-e-raquel,
Grupo JCPM 90 anos,https://jc.uol.com.br/tag/grupo-jcpm-90,
"EDUCAÇÃO
Geração Solidária: projeto do Colégio Núcleo estimula protagonismo e coletividade dos estudantes",https://jc.uol.com.br/jc360/2025/09/12/geracao-solidaria-projeto-do-colegio-nucleo-estimula-protagonismo-e-coletividade-dos-estudantes.html,
"JC EDUCAÇÃO
Colégio GGE: há 30 anos unindo cultura, tradição, inovação e resultados",https://jc.uol.com.br/jc360/2025/09/12/colegio-gge-ha-30-anos-unindo-cultura-tradicao-inovacao-e-resultados.html,
"TECNOLOGIA
Colégio CBV lança disciplina inovadora voltada para IA",https://jc.uol.com.br/jc360/2025/09/12/colegio-cbv-lanca-disciplina-inovadora-voltada-para-ia.html,
"EDUCAÇÃO
Fits e Unit se destacam nos indicadores do MEC e reforçam liderança do Grupo Tiradentes em Pernambuco",https://jc.uol.com.br/jc360/2025/09/12/fits-e-unit-se-destacam-nos-indicadores-do-mec-e-reforcam-lideranca-do-grupo-tiradentes-em-pernambuco.html,
